377;1;2240;02/07/2019
7457;2;511;02/07/2019
3836;2;747;02/07/2019
2199;1;3747;02/07/2019
1091;3;0;02/07/2019
3624;2;459;02/07/2019
3884;3;0;02/07/2019
8027;2;930;02/07/2019
6841;3;0;02/07/2019
837;1;4204;02/07/2019
1361;2;412;02/07/2019
6230;1;545;02/07/2019
7623;3;0;02/07/2019
3825;1;213;02/07/2019
6754;3;0;02/07/2019
347;2;544;02/07/2019
3918;2;215;02/07/2019
5423;1;1448;02/07/2019
146;3;0;02/07/2019
8428;1;3116;02/07/2019
5160;1;1255;02/07/2019
7430;3;0;02/07/2019
3425;3;0;02/07/2019
6875;2;168;02/07/2019
2714;3;0;02/07/2019
3928;2;538;02/07/2019
8030;1;1746;02/07/2019
3198;1;1813;02/07/2019
2759;2;272;02/07/2019
4679;2;675;02/07/2019
7646;1;386;02/07/2019
6572;1;661;02/07/2019
5875;3;0;02/07/2019
6368;1;3101;02/07/2019
3719;3;0;02/07/2019
3066;1;1210;02/07/2019
6993;2;842;02/07/2019
7942;2;758;02/07/2019
6161;2;161;02/07/2019
3727;1;656;02/07/2019
188;2;561;02/07/2019
844;2;290;02/07/2019
6548;3;0;02/07/2019
713;2;180;02/07/2019
5343;2;162;02/07/2019
9043;1;4123;02/07/2019
7581;1;424;02/07/2019
7570;1;322;02/07/2019
8755;2;781;02/07/2019
284;3;0;02/07/2019
7510;2;661;02/07/2019
174;1;4418;02/07/2019
7844;1;390;02/07/2019
334;2;547;02/07/2019
6980;1;1173;02/07/2019
3140;3;0;02/07/2019
337;3;0;02/07/2019
7015;3;0;02/07/2019
2884;3;0;02/07/2019
7968;1;508;02/07/2019
7953;2;502;02/07/2019
1341;3;0;02/07/2019
7095;3;0;02/07/2019
1978;2;824;02/07/2019
2130;1;3211;02/07/2019
1021;3;0;02/07/2019
4738;3;0;02/07/2019
2297;1;670;02/07/2019
8989;2;219;02/07/2019
5754;1;2847;02/07/2019
1839;2;834;02/07/2019
1505;1;725;02/07/2019
5905;2;54;02/07/2019
6269;1;1997;02/07/2019
8094;3;0;02/07/2019
8852;2;502;02/07/2019
8124;1;90;02/07/2019
7751;3;0;02/07/2019
8196;3;0;02/07/2019
2413;1;2005;02/07/2019
6618;3;0;02/07/2019
8204;2;324;02/07/2019
3324;1;54;02/07/2019
2370;2;326;02/07/2019
4356;2;404;02/07/2019
5471;2;532;02/07/2019
2499;1;3985;02/07/2019
9099;2;75;02/07/2019
7293;1;4439;02/07/2019
9127;2;769;02/07/2019
602;2;727;02/07/2019
3408;1;532;02/07/2019
5614;2;101;02/07/2019
4012;2;645;02/07/2019
6967;3;0;02/07/2019
3416;1;391;02/07/2019
4033;3;0;02/07/2019
4037;1;2729;02/07/2019
2245;1;2699;02/07/2019
5509;3;0;02/07/2019
6627;3;0;02/07/2019
4563;3;0;03/07/2019
1036;2;709;03/07/2019
7314;2;559;03/07/2019
901;3;0;03/07/2019
2442;3;0;03/07/2019
4166;1;3743;03/07/2019
7520;1;3035;03/07/2019
5089;3;0;03/07/2019
323;1;840;03/07/2019
420;1;78;03/07/2019
4356;2;126;03/07/2019
8343;3;0;03/07/2019
302;2;369;03/07/2019
8705;1;683;03/07/2019
3753;1;580;03/07/2019
2245;2;876;03/07/2019
4292;3;0;03/07/2019
5807;3;0;03/07/2019
3659;3;0;03/07/2019
7907;1;646;03/07/2019
2410;3;0;03/07/2019
6932;2;580;03/07/2019
6206;2;241;03/07/2019
9161;2;871;03/07/2019
6037;2;646;03/07/2019
6204;1;924;03/07/2019
1564;2;382;03/07/2019
2961;1;621;03/07/2019
6080;3;0;03/07/2019
7937;3;0;03/07/2019
5276;3;0;03/07/2019
6998;2;62;03/07/2019
5727;2;526;03/07/2019
7425;3;0;03/07/2019
2967;1;930;03/07/2019
2081;2;674;03/07/2019
4889;2;391;03/07/2019
5221;2;818;03/07/2019
6661;2;802;03/07/2019
2829;1;13;03/07/2019
1003;1;512;03/07/2019
5003;1;810;03/07/2019
1488;2;926;03/07/2019
4079;2;382;03/07/2019
7240;1;2936;03/07/2019
8682;2;958;03/07/2019
7386;1;4300;03/07/2019
1480;1;321;03/07/2019
5996;1;1254;03/07/2019
874;2;425;03/07/2019
6074;3;0;03/07/2019
3908;2;452;03/07/2019
8104;3;0;03/07/2019
1682;3;0;03/07/2019
3864;3;0;03/07/2019
371;2;350;03/07/2019
3911;1;394;03/07/2019
8660;2;185;03/07/2019
5232;1;254;03/07/2019
7353;1;5301;03/07/2019
1512;1;4839;03/07/2019
1505;2;145;03/07/2019
1434;1;1739;03/07/2019
654;3;0;03/07/2019
6511;1;1152;03/07/2019
4369;3;0;03/07/2019
7516;2;553;03/07/2019
6124;2;350;03/07/2019
1351;3;0;03/07/2019
5107;2;916;03/07/2019
8136;3;0;03/07/2019
2181;1;1342;03/07/2019
5857;2;400;03/07/2019
4916;1;3470;03/07/2019
342;2;269;03/07/2019
4037;3;0;03/07/2019
975;3;0;03/07/2019
4127;2;198;03/07/2019
7216;1;5409;03/07/2019
8622;3;0;03/07/2019
5388;2;287;03/07/2019
1915;2;903;03/07/2019
8423;2;299;03/07/2019
6737;2;59;03/07/2019
3198;2;454;03/07/2019
7726;3;0;03/07/2019
153;1;2863;03/07/2019
8415;2;256;03/07/2019
4657;1;2711;03/07/2019
6217;3;0;03/07/2019
4770;1;3693;03/07/2019
3369;3;0;03/07/2019
7103;1;468;03/07/2019
8402;2;772;03/07/2019
7602;2;485;03/07/2019
3045;1;1109;03/07/2019
9012;1;1570;03/07/2019
7810;1;692;03/07/2019
8869;1;587;03/07/2019
7112;1;44;03/07/2019
152;1;1553;03/07/2019
8769;3;0;03/07/2019
797;3;0;03/07/2019
7833;1;214;03/07/2019
1852;2;834;03/07/2019
7623;2;487;03/07/2019
7084;3;0;03/07/2019
607;2;727;04/07/2019
5141;3;0;04/07/2019
6467;2;814;04/07/2019
1138;1;460;04/07/2019
9272;3;0;04/07/2019
302;3;0;04/07/2019
2457;3;0;04/07/2019
8012;2;618;04/07/2019
4687;1;23;04/07/2019
5271;1;2193;04/07/2019
2731;2;539;04/07/2019
1523;1;1371;04/07/2019
2136;1;1356;04/07/2019
6012;3;0;04/07/2019
888;3;0;04/07/2019
374;2;861;04/07/2019
1727;3;0;04/07/2019
5861;1;196;04/07/2019
7601;2;586;04/07/2019
488;3;0;04/07/2019
2245;3;0;04/07/2019
5069;3;0;04/07/2019
3780;2;325;04/07/2019
8168;1;1192;04/07/2019
1496;2;291;04/07/2019
6882;2;437;04/07/2019
6229;2;440;04/07/2019
3136;1;879;04/07/2019
